case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
probe3_wg-0.8_we0.0_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,248.41043281555176,239871.0
probe3_wg-1.0_we0.0_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,249.6541883945465,241972.06
probe3_wg-0.8_we0.0_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,250.89086270332336,244241.37
probe3_wg-0.8_we0.0_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,251.30342149734497,244028.55
probe3_wg-0.5_we0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,255.6035294532776,249376.17000000004
probe3_wg-1.5_we-0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,261.72347593307495,254755.34000000003
probe3_wg-0.5_we-0.5_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,262.1169662475586,253040.37999999998
probe3_wg-0.8_we0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,262.61630630493164,254938.43
probe3_wg-1.0_we0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,263.40408420562744,255637.39
probe3_wg-0.5_we-0.8_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,263.9443368911743,257310.25
probe3_wg-1.0_we-0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,266.19769167900085,256953.27000000002
probe3_wg-1.5_we-0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,268.56871223449707,259732.04
probe3_wg-0.8_we-0.5_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,268.5925076007843,260844.84
probe3_wg-0.8_we-0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,268.6352689266205,262367.25
probe3_wg-0.5_we-0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,268.9083025455475,259306.15
probe3_wg-1.0_we-0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,269.2396764755249,260333.87000000002
probe3_wg-1.0_we0.0_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,271.15168023109436,264716.72000000003
probe3_wg-0.5_we0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,271.34173703193665,263942.76
probe3_wg-0.8_we0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,272.9041938781738,265059.96
probe3_wg-0.8_we0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,273.26194739341736,265825.60000000003
probe3_wg-1.5_we-0.5_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,274.15998458862305,266769.08999999997
probe3_wg-1.0_we-0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,274.53133630752563,265053.45999999996
probe3_wg-0.5_we0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,274.92434525489807,268193.33999999997
probe3_wg-0.5_we0.0_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,275.0177984237671,265046.87
probe3_wg-1.5_we-0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,277.73933935165405,268799.45
probe3_wg-1.0_we0.0_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,277.9748704433441,269998.72
probe3_wg-0.8_we-0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,278.22498178482056,271892.0
